Area,Length,position,ID
26589,318.198,bottom,1
25329,345.364,bottom,1
28686,365.868,bottom,1
28598,308.876,bottom,1
16179,321.872,bottom,1
17894,321.12,bottom,2
19268,386.273,bottom,2
19022,342.345,bottom,2
23376,388,bottom,2
16596,244.131,bottom,2
18798,255.795,bottom,3
14931,250.17,bottom,3
17865,266.817,bottom,3
14723,213.208,bottom,3
16178,270.601,bottom,3
19399,253.859,bottom,4
16040,263.946,bottom,4
14892,237.157,bottom,4
17157,194.136,bottom,4
12169,262.535,bottom,4
17922,295.269,bottom,5
17084,285.698,bottom,5
8713,249.43,bottom,5
17740,291.549,bottom,5
17339,283.627,bottom,5
12791,213.375,bottom,6
13113,252.701,bottom,6
16454,243.362,bottom,6
16587,233.824,bottom,6
20053,244.069,bottom,6
19734,481.512,bottom,7
20071,398.087,bottom,7
16485,269.406,bottom,7
14887,287.15,bottom,7
23863,341.242,bottom,7
23791,333.165,bottom,8
23527,319.246,bottom,8
21643,324.285,bottom,8
22276,288.691,bottom,8
30252,319.922,bottom,8
15119,362.945,bottom,9
21096,393.636,bottom,9
15313,394.586,bottom,9
20593,356.854,bottom,9
19443,329.15,bottom,9
21306,366.4,bottom,10
16405,338.08,bottom,10
11980,290.209,bottom,10
19270,249.163,bottom,10
17583,283.196,bottom,10
13459,232.138,bottom,11
16843,214,bottom,11
19648,222.441,bottom,11
14728,222.899,bottom,11
21076,348.023,bottom,11
26878,239.282,bottom,12
15479,286.587,bottom,12
12027,275.078,bottom,12
22405,273.123,bottom,12
19602,270.267,bottom,12
26399,265.949,middle,1
25723,277.324,middle,1
24065,228.191,middle,1
23866,226.718,middle,1
19172,219.774,middle,1
18981,256.174,middle,2
22254,242.612,middle,2
22447,305.691,middle,2
24692,252.229,middle,2
31596,325.697,middle,2
25680,286.744,middle,3
19963,259.778,middle,3
17164,326.166,middle,3
28100,325.467,middle,3
18376,291.467,middle,3
24942,317.963,middle,4
14951,305.272,middle,4
20224,228.016,middle,4
17505,346.115,middle,4
25219,326.871,middle,4
25968,217.892,middle,5
20427,242.392,middle,5
23704,273.47,middle,5
19289,278.871,middle,5
20716,279.823,middle,5
22787,301.257,middle,6
27967,353.638,middle,6
24252,285.859,middle,6
25881,374.285,middle,6
22878,315.49,middle,6
27033,257.099,middle,7
27525,265.096,middle,7
28415,251.563,middle,7
24178,247.814,middle,7
14848,232.594,middle,7
17728,238.67,middle,8
18294,210.861,middle,8
19621,202.039,middle,8
12224,201.28,middle,8
19413,289.751,middle,8
27377,288.78,middle,9
17689,315.696,middle,9
13667,241.79,middle,9
21865,211.702,middle,9
26030,193.793,middle,9
22542,261.013,middle,10
15313,261.948,middle,10
21797,239.351,middle,10
16349,210.869,middle,10
15333,154.603,middle,10
22280,280.156,middle,11
22422,238.801,middle,11
17990,256,middle,11
15979,308.012,middle,11
21273,278.695,middle,11
17007,197.554,middle,12
20914,250.681,middle,12
18152,284.028,middle,12
31636,290.327,middle,12
20156,266.19,middle,12
18140,292.368,tip,1
25603,310.747,tip,1
23428,232.004,tip,1
21049,244.586,tip,1
28609,348.694,tip,1
22528,286.744,tip,2
27273,357.982,tip,2
27335,323.503,tip,2
16805,253.523,tip,2
21843,194.397,tip,2
20344,328.19,tip,3
28689,342.49,tip,3
24640,276.614,tip,3
23805,364.671,tip,3
23617,317.795,tip,3
23777,282.648,tip,4
26477,341.427,tip,4
19886,312.481,tip,4
13636,345.961,tip,4
21321,296.564,tip,4
28789,379.984,tip,5
31566,352.346,tip,5
18866,434.166,tip,5
22456,375.686,tip,5
25771,377.831,tip,5
23805,302.026,tip,6
21977,297.705,tip,6
35406,399.81,tip,6
26174,382.8,tip,6
20431,316.632,tip,6
16339,297.381,tip,7
28322,344.857,tip,7
25622,298.196,tip,7
9665,277.9,tip,7
15140,263.623,tip,7
31509,185.333,tip,8
22980,209.439,tip,8
28655,259.315,tip,8
19777,227.504,tip,8
23948,258.109,tip,8
22233,221.434,tip,9
17840,194.228,tip,9
20905,267.479,tip,9
16141,211.492,tip,9
22050,244.847,tip,9
32620,388.758,tip,10
37298,389.826,tip,10
33155,374.41,tip,10
21085,346.266,tip,10
20700,312.481,tip,10
19670,323.791,tip,11
13707,300.758,tip,11
18219,250.244,tip,11
17355,277.324,tip,11
19644,240.95,tip,11
25231,270.363,tip,12
17290,273.708,tip,12
23929,299.827,tip,12
26382,285.776,tip,12
20233,342,tip,12